name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating
Maypo,A,H,100,4,1,0,0,16,3,95,25,2,1,1,54.9
Muesli Raisins; Dates; & Almonds,R,C,150,4,3,95,3,16,11,170,25,3,1,1,37.1
Muesli Raisins; Peaches; & Pecans,R,C,150,4,3,150,3,16,11,170,25,3,1,1,34.1
Mueslix Crispy Blend,K,C,160,3,2,150,3,17,13,160,25,3,2,1,30.3
Multi-Grain Cheerios,G,C,100,2,1,220,2,15,6,90,25,1,1,1,40.1
Nut&Honey Crunch,K,C,120,2,1,190,0,15,9,40,25,2,1,1,29.9
Nutri-Grain Almond-Raisin,K,C,140,3,2,220,3,21,7,130,25,3,1,1,40.7
Nutri-grain Wheat,K,C,90,3,0,170,3,18,2,90,25,3,1,1,59.6
Oatmeal Raisin Crisp,G,C,130,3,2,170,2,14,10,120,25,3,1,1,30.5
Post Nat. Raisin Bran,P,C,120,3,1,200,6,11,14,260,25,3,1,1,37.8
Product 19,K,C,100,3,0,320,1,20,3,45,100,3,1,1,41.5
Puffed Rice,Q,C,50,1,0,0,0,13,0,15,0,3,1,1,60.8
Puffed Wheat,Q,C,50,2,0,0,1,10,0,50,0,3,1,1,63.0
Quaker Oat Squares,Q,C,100,4,1,135,2,14,6,110,25,3,1,1,49.5
Quaker Oatmeal,Q,H,100,5,2,0,3,-1,-1,110,0,1,1,1,50.8
Raisin Bran,K,C,120,3,1,210,5,14,12,240,25,2,1,1,39.3
Raisin Nut Bran,G,C,100,3,2,140,3,11,8,140,25,3,1,1,39.7
Raisin Squares,K,C,90,2,0,0,2,15,6,110,25,3,1,1,55.3
Rice Chex,R,C,110,1,0,240,0,23,2,30,25,1,1,1,42.0
Rice Krispies,K,C,110,2,0,290,0,22,3,35,25,1,1,1,40.6
Shredded Wheat,N,C,80,2,0,0,3,16,0,95,0,1,1,1,68.2
Shredded Wheat 'n'Bran,N,C,90,3,0,0,4,19,0,140,0,1,1,1,74.5
Shredded Wheat spoon size,N,C,90,3,0,0,3,20,0,120,0,1,1,1,72.8
Smacks,K,C,110,2,1,70,1,9,15,40,25,2,1,1,31.2
Special K,K,C,110,6,0,230,1,16,3,55,25,1,1,1,53.1
Strawberry Fruit Wheats,N,C,90,2,0,15,3,15,5,90,25,2,1,1,59.4
Total Corn Flakes,G,C,110,2,1,200,0,21,3,35,100,3,1,1,38.8
Total Raisin Bran,G,C,140,3,1,190,4,15,14,230,100,3,2,1,28.6
Total Whole Grain,G,C,100,3,1,200,3,16,3,110,100,3,1,1,46.7
Triples,G,C,110,2,1,250,0,21,3,60,25,3,1,1,39.1
Trix,G,C,110,1,1,140,0,13,12,25,25,2,1,1,27.8
Wheat Chex,R,C,100,3,1,230,3,17,3,115,25,1,1,1,49.8
Wheaties,G,C,100,3,1,200,3,17,3,110,25,1,1,1,51.6
Wheaties Honey Gold,G,C,110,2,1,200,1,16,8,60,25,1,1,1,36.2
